Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
To LOVE-Ru,7.07,"Sci-Fi, Harem, Comedy, Romance, Ecchi, School, Shounen",TV,26,"Apr 4, 2008 to Sep 26, 2008",Spring 2008,"Geneon Universal Entertainment, TBS, Shueisha",Sentai Filmworks,Xebec,Manga,24 min. per ep.,R+ - Mild Nudity,3337.0,245,483606,3840,25729,317483,26986
Vampire Knight,7.03,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,"Apr 8, 2008 to Jul 1, 2008",Spring 2008,"TV Tokyo, Aniplex, Nihon Ad Systems",VIZ Media,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3546.0,254,479832,8751,15986,371018,24743
Pi Po Pa Po Patrol-kun,6.51,"Cars, Comedy, Police, Kids",TV,65,"Dec 4, 2000 to Mar 7, 2001",Winter 2001,Unknown,Unknown,Unknown,Unknown,5 min. per ep.,G - All Ages,11514.0,12665,400,1,48,101,80
Bosco Daibouken,6.95,"Kids, Adventure, Fantasy",TV,26,"Oct 6, 1986 to Mar 30, 1987",Fall 1986,Unknown,Unknown,Nippon Animation,Book,25 min. per ep.,PG - Children,3809.0,9868,1305,7,52,645,122
A.LI.CE,4.97,Sci-Fi,Movie,1,"Feb 5, 2000",Unknown,GAGA,Unknown,Unknown,Unknown,1 hr. 25 min.,PG-13 - Teens 13 or older,10609.0,9188,1737,4,58,763,115
Kemeko Deluxe!,6.59,"Action, Comedy, Ecchi, Romance, School, Sci-Fi, Shounen",TV,12,"Oct 5, 2008 to Dec 21, 2008",Fall 2008,"Geneon Universal Entertainment, YTV, KlockWorx, AC Create, Yomiuri Advertising",Unknown,Hal Film Maker,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5450.0,2674,36300,54,1874,19842,2277
Nagasaki 1945: Angelus no Kane,6.48,"Drama, Historical, Military",Movie,1,"Sep 9, 2005",Unknown,Mushi Production,Unknown,Unknown,Unknown,1 hr. 20 min.,Unknown,6002.0,10974,792,0,41,192,45
Nogizaka Haruka no Himitsu,7.24,"Comedy, Romance",TV,12,"Jul 3, 2008 to Sep 25, 2008",Summer 2008,"Geneon Universal Entertainment, ASCII Media Works, Studio Mausu",Discotek Media,Diomedéa,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,2612.0,1234,117124,436,4195,79160,3690
Special A,7.56,"Comedy, Romance, School, Shoujo",TV,24,"Apr 7, 2008 to Sep 15, 2008",Spring 2008,Showgate,Sentai Filmworks,"Gonzo, AIC",Manga,24 min. per ep.,PG-13 - Teens 13 or older,1405.0,472,297695,3081,11998,204292,14381
Tenrankai no E,6.26,Comedy,Movie,1,"Nov 11, 1966",Unknown,Mushi Production,Unknown,Unknown,Original,32 min.,PG-13 - Teens 13 or older,7103.0,9125,1779,2,38,1143,56
Souseiki,5.52,Parody,Movie,1,"Oct 1, 1968",Unknown,Mushi Production,Unknown,Unknown,Unknown,4 min.,PG - Children,9630.0,9577,1484,0,22,1145,47
Muramasa,6.21,"Historical, Horror, Martial Arts, Samurai",Movie,1,"Aug 21, 1987",Unknown,Tezuka Productions,Unknown,Unknown,Original,8 min.,PG-13 - Teens 13 or older,7296.0,6741,4524,4,76,2921,45
